date,open,high,low,close,volume,clv,close_strength,volume_ma7,volume_ma14,volume_ma28,relative_volume7,relative_volume28,volume_zscore28,daily_return,normalized_move,abs_normalized_move,liquidity_pressure,close_volume_strength,smart_money_pressure,next_day_return_pct,next_3day_return_pct,next_5day_return_pct,strong_bullish_liquidity_day,strong_bearish_liquidity_day
2026-06-24,2.34,2.36,2.33,2.34,1681381.0,0.3333333333333284,-0.33333333333334325,2116152.5714285714,,,0.7945462074433197,,0.0,0.0,0.0,0.0,0.0,-0.2648487358144478,-0.1333333333333373,0.42735042735043727,1.2820512820512928,2.1367521367521483,False,False
2026-06-25,2.34,2.37,2.33,2.35,3445253.0,0.5,0.0,2467638.8571428573,,,1.3961739133857975,,0.0,0.00427350427350448,0.042735042735044804,0.042735042735044804,0.0596655518540968,0.0,0.012820512820513441,-0.42553191489362685,2.5531914893617045,2.9787234042553123,False,False
2026-06-28,2.34,2.37,2.33,2.34,1195799.0,0.24999999999999445,-0.5000000000000111,1960445.7142857143,,,0.6099628218655816,,0.0,-0.004255319148936287,-0.042553191489362874,0.042553191489362874,-0.02595586476023823,-0.30498141093279757,-0.21276595744681331,1.2820512820512928,2.1367521367521483,7.6923076923077,False,False
2026-06-29,2.34,2.38,2.33,2.37,3596324.0,0.8000000000000036,0.6000000000000072,2180265.0,1909933.0714285714,,1.649489396931107,,0.0,0.012820512820512997,0.12820512820512997,0.12820512820512997,0.2114729996065551,0.9896936381586761,0.27846153846154187,1.6877637130801704,2.1097046413502034,1.6877637130801704,False,False
2026-06-30,2.4,2.44,2.35,2.41,13691419.0,0.6666666666666683,0.3333333333333366,3996196.4285714286,2821536.3571428573,,3.426112616014335,,0.0,0.016877637130801704,0.16877637130801704,0.16877637130801704,0.578246855023517,1.142037538671456,0.18396624472573975,-0.8298755186721999,4.56431535269709,-4.149377593360999,False,False
2026-07-01,2.42,2.47,2.36,2.39,10839010.0,0.2727272727272742,-0.4545454545454516,5165002.428571428,3506828.6428571427,,2.0985488680588924,,0.0,-0.008298755186721962,-0.08298755186721962,0.08298755186721962,-0.17415343303393235,-0.9538858491176722,-0.20671444737834654,1.2552301255230043,0.836820083682009,-4.602510460251059,False,False
2026-07-02,2.4,2.45,2.37,2.42,7885550.0,0.6249999999999972,0.24999999999999445,6047819.428571428,4017292.785714286,,1.3038666403872226,,0.0,0.012552301255229992,0.12552301255229992,0.12552301255229992,0.16366526866785047,0.3259666600967984,0.13765690376568776,4.132231404958682,-4.5454545454545405,-7.0247933884297495,False,False
2026-07-05,2.47,2.55,2.46,2.52,14025972.0,0.6666666666666683,0.3333333333333366,7811332.428571428,4963742.5,,1.7955927657997695,,0.0,0.04132231404958686,0.4132231404958686,0.4132231404958686,0.7419804817354434,0.5985309219332623,0.2573002754820952,-4.36507936507936,-9.52380952380953,-2.7777777777777715,False,False
2026-07-06,2.52,2.52,2.38,2.41,5368339.0,0.21428571428571588,-0.5714285714285683,8086059.0,5276848.928571428,,0.6639005478441352,,0.0,-0.04365079365079361,-0.43650793650793607,0.43650793650793607,-0.28979785818593173,-0.37937174162521803,-0.35952380952380814,-4.149377593360999,-6.639004149377599,-2.9045643153527085,False,False
2026-07-07,2.44,2.44,2.31,2.31,7202285.0,0.0,-1.0,8944128.42857143,5452287.071428572,,0.8052528603002586,,0.0,-0.04149377593361003,-0.41493775933610033,0.41493775933610033,-0.33412981755197513,-0.8052528603002586,-0.5244813278008301,-1.2987012987013093,6.060606060606066,0.8658008658008665,False,False
2026-07-08,2.3,2.3,2.24,2.28,3954362.0,0.6666666666666642,0.3333333333333284,8995276.714285715,5587770.857142857,,0.43960426406004155,,0.0,-0.012987012987013102,-0.12987012987013102,0.12987012987013102,-0.05709146286494097,0.14653475468667834,0.09437229437229205,-1.3157894736842022,2.631578947368424,2.631578947368424,False,False
