symbol,name,market,status,last_updated
4337,Al Aziziah REIT Fund,TASI,active,2026-09-23
4338,AlAhli REIT Fund 1,TASI,active,2026-09-23
4339,Derayah REIT Fund,TASI,active,2026-09-23
4340,Al Rajhi REIT Fund,TASI,active,2026-09-23
4342,Jadwa REIT Saudi Fund,TASI,active,2026-09-23
4344,SEDCO Capital REIT Fund,TASI,active,2026-09-23
4345,Alinma Retail REIT Fund,TASI,active,2026-09-23
4346,MEFIC REIT Fund,TASI,active,2026-09-23
4347,Bonyan REIT Fund,TASI,active,2026-09-23
4348,Alkhabeer REIT Fund,TASI,active,2026-09-23
4349,Alinma Hospitality REIT Fund,TASI,active,2026-09-23
4350,Alistithmar AREIC Diversified REIT Fund,TASI,active,2026-09-23
5110,Saudi Energy Co.,TASI,active,2026-09-23
6001,Halwani Brothers Company,TASI,active,2026-09-23
6002,Herfy Food Services Co.,TASI,active,2026-09-23
6004,كاتريون,TASI,active,2026-09-23
6010,National Agricultural Development Co.,TASI,active,2026-09-23
6012,Raydan Food Co.,TASI,active,2026-09-23
6013,Development Works Food Co.,TASI,active,2026-09-23
6014,AlAmar Foods Co.,TASI,active,2026-09-23
6015,Americana Restaurants International PLC,TASI,active,2026-09-23
6016,Shatirah House Restaurant Burgerizzr Co.,TASI,active,2026-09-23
6017,Jahez International Company for Information Systems Technology,TASI,active,2026-09-23
6018,Sport Clubs Co.,TASI,active,2026-09-23
6019,Al Masar Al Shamil Education Co.,TASI,active,2026-09-23
6020,Al Gassim Investment Holding Co.,TASI,active,2026-09-23
6022,Armah Sports Company,TASI,active,2026-09-23
6040,Tabuk Agricultural Development Co.,TASI,active,2026-09-23
6050,Saudi Fisheries Co.,TASI,active,2026-09-23
6060,Ash-Sharqiyah Development Co.,TASI,active,2026-09-23
6070,Al-Jouf Agriculture Development Co.,TASI,active,2026-09-23
6090,جازادكو,TASI,active,2026-09-23
7010,Saudi Telecom Co.,TASI,active,2026-09-23
7020,Etihad Etisalat Co.,TASI,active,2026-09-23
7030,زين,TASI,active,2026-09-23
7040,Etihad Atheeb Telecommunication Co.,TASI,active,2026-09-23
7200,Al Moammar Information Systems Company,TASI,active,2026-09-23
7201,Arab Sea Information Systems Co.,TASI,active,2026-09-23
7202,Arabian Internet and Communications Services Company,TASI,active,2026-09-23
7203,Elm Company,TASI,active,2026-09-23
7204,Perfect Presentation for Commercial Services Co.,TASI,active,2026-09-23
7205,Dar Albalad For Business Solutions Company,TASI,active,2026-09-23
7211,Saudi Azm for Communication and Information Technology Co.,TASI,active,2026-09-23
8010,Company for Cooperative Insurance,TASI,active,2026-09-23
8012,AlJazira Takaful Taawuni Co.,TASI,active,2026-09-23
8020,Malath Cooperative Insurance Co.,TASI,active,2026-09-23
8030,Mediterranean & Gulf Cooperative Insurance & Reinsurance Co.,TASI,active,2026-09-23
