date,close,volume,liquidity,daily_return_pct,daily_liquidity_change_pct,sma5,sma10,sma20,liquidity_sma5,liquidity_sma10,liquidity_sma20,rsi14,atr14,roc,momentum,obv,mfi,vwap,interpretation
2026-07-28,2.3,1444582.0,3322538.5999999996,-0.8620689655172376,38.749439955719645,2.316000000000001,2.3229999999999995,2.3465,2679332.307999995,4985273.650000004,11582889.077999998,45.32605021981036,0.0651934665271772,-1.2875536480686844,-0.03000000000000025,23818060.0,51.814918636747045,2.3835714343095074,سيولة مرتفعة مع ضغط بيعي محتمل
2026-07-29,2.3,2984815.0,6865074.499999999,0.0,106.62136175031947,2.310000000000001,2.3189999999999995,2.3419999999999996,3626578.8519999953,4765521.096000004,10630881.108,45.32605021981036,0.06482250463237883,-1.7094017094017144,-0.040000000000000036,23818060.0,50.24212338652836,2.381795442703236,تغير محايد (لا حركة واضحة في السعر أو السيولة)
2026-07-30,2.31,1255294.0,2899729.14,0.43478260869567187,-57.761140975236316,2.306000000000001,2.314999999999999,2.3364999999999996,3798715.963999995,4607016.720000004,9821716.014999997,46.7029060206028,0.06233518287292322,-1.7021276595744705,-0.040000000000000036,25073354.0,34.149687010495875,2.381188989710885,ارتفاع سعري مع ضعف في السيولة
2026-08-02,2.32,1851784.0,4296138.88,0.43290043290042934,48.15655782250061,2.310000000000001,2.3169999999999993,2.3264999999999993,3955622.6399999945,4551568.428000005,8269250.486999998,48.110168008794155,0.06073981266771443,0.8695652173912993,0.020000000000000018,26925138.0,46.93120868040869,2.3803997177927507,سيولة إيجابية مع حركة سعرية إيجابية
2026-08-03,2.52,16880124.0,42537912.48,8.62068965517242,890.142862420686,2.3500000000000005,2.334999999999999,2.332,11984278.719999995,7517152.470000004,9749261.261499997,66.92184144238692,0.07282982604859198,7.692307692307709,0.18000000000000016,43805262.0,72.67609922290426,2.3891252133708925,سيولة إيجابية مع حركة سعرية إيجابية
2026-08-04,2.49,11156490.0,27779660.1,-1.1904761904761862,-34.694350332632965,2.388000000000001,2.351999999999999,2.3409999999999997,16875703.019999992,9777517.664000005,10306380.348999996,63.21953465240061,0.07762769561654971,7.327586206896575,0.17000000000000037,32648772.0,76.89601567974891,2.397417366090075,ضعف سعري مصحوب بانخفاض السيولة
2026-08-05,2.43,8283908.0,20129896.44,-2.409638554216864,-27.5372831505595,2.4140000000000006,2.361999999999999,2.3484999999999996,19528667.407999992,11577623.130000005,10862077.902999997,56.488535782720476,0.083511431643939,4.29184549356223,0.10000000000000009,24364864.0,68.02109033989467,2.400759940247834,ضعف سعري مصحوب بانخفاض السيولة
2026-08-06,2.48,4052063.0,10049116.24,2.0576131687242816,-50.07864908817186,2.448000000000001,2.3769999999999993,2.3599999999999994,20958544.82799999,12378630.396000003,11195031.202499997,60.28345967621982,0.08468918652651479,6.4377682403433445,0.1499999999999999,28416927.0,72.56843702811457,2.4023587331224436,ارتفاع سعري مع ضعف في السيولة
2026-08-09,2.42,1657419.0,4010953.98,-2.4193548387096753,-60.086500303035606,2.468000000000001,2.3889999999999993,2.3584999999999994,20901507.847999994,12428565.244000005,9823242.523999996,54.17711674569182,0.08506853034604944,5.21739130434784,0.1200000000000001,26759508.0,67.76879585638414,2.4027246561515536,ضعف سعري مصحوب بانخفاض السيولة
2026-08-10,2.35,2432475.0,5716316.25,-2.8925619834710647,42.517622453499214,2.4340000000000006,2.3919999999999995,2.358999999999999,13537188.601999993,12760733.661000004,9195115.410499996,48.06060606958603,0.08470649246418878,1.2931034482758674,0.03000000000000025,24327033.0,67.48129895892289,2.4023012949806093,سيولة مرتفعة مع ضغط بيعي محتمل
2026-08-11,2.35,1289834.0,3031109.9,0.0,-46.974419058777585,2.4060000000000006,2.3969999999999994,2.3599999999999994,8587478.561999992,12731590.791000005,8858432.220499996,48.060606069586036,0.08222745728817528,2.1739130434782705,0.050000000000000266,24327033.0,66.00084565021565,2.401967665573032,تغير محايد (لا حركة واضحة في السعر أو السيولة)
2026-08-12,2.37,1692401.0,4010990.37,0.8510638297872353,32.32744777746264,2.3940000000000006,2.4039999999999995,2.361499999999999,5363697.347999992,12446182.378000006,8605851.736999998,49.933596535835854,0.08063978176759133,3.04347826086957,0.07000000000000028,26019434.0,66.47860727190853,2.401684417167889,سيولة إيجابية مع حركة سعرية إيجابية
2026-08-13,2.35,1530346.0,3596313.1,-0.8438818565400852,-10.338525694341172,2.3680000000000003,2.408,2.361499999999999,4073136.7199999914,12515840.774000006,8561428.746999998,48.06691752297832,0.07916551164133481,1.7316017316017396,0.040000000000000036,24489088.0,66.43606140208908,2.401432578209613,ضعف سعري مصحوب بانخفاض السيولة
2026-08-16,2.34,1764764.0,4129547.76,-0.42553191489362874,14.827259061509412,2.3520000000000003,2.4099999999999997,2.3634999999999993,4096855.4759999914,12499181.662000006,8525375.044999996,47.118449966661316,0.07922511795266805,0.8620689655172376,0.020000000000000018,22724324.0,63.92398783810069,2.40105626142034,سيولة مرتفعة مع ضغط بيعي محتمل
2026-08-17,2.34,843837.0,1974578.5799999998,0.0,-52.18414473550004,2.3500000000000005,2.392,2.3634999999999993,3348507.9419999914,8442848.272000007,7980000.370999997,47.118449966661316,0.07570903809890607,-7.142857142857151,-0.18000000000000016,22724324.0,64.53929457163659,2.4007778306519,تغير محايد (لا حركة واضحة في السعر أو السيولة)
