date,open,high,low,close,volume,prev_close,daily_return,close_strength,volume_sma20,relative_volume20,close_sma20,close_sma50,trend20,trend50,price_position20,breakout20,previous_return5,previous_return10,NextDayReturn,Return3Days,Return5Days,Return7Days,Return10Days,case_a_uptrend,case_b_breakout,case_c_extended,case_d_weak_close,normal_day,trend_strength,z_relative_volume20,z_close_strength,z_trend_strength,breakout_factor,model_a,model_b,model_c,model_d_contextual_score,split
2026-04-02,2.18,2.24,2.12,2.2,4701912.0,2.2,0.0,0.6666666666666666,3456913.95,1.360147249253919,2.2595,2.4268,-0.026333259570701432,-0.09345640349431344,0.21052631578947392,0.0,-0.03508771929824545,-0.01785714285714287,0.009090909090909097,-0.00454545454545465,0.04999999999999994,0.08636363636363634,0.07727272727272723,False,False,False,False,True,-0.059894831532507437,0.19037468209524,0.8670796836762393,-1.1766377527622875,1.0,0.19037468209524,0.16507001913110533,-0.19422761635885158,-0.19422761635885158,Training
2026-04-05,2.2,2.23,2.15,2.22,5367640.0,2.2,0.009090909090909097,0.8750000000000028,3491269.8,1.5374463468850217,2.2500000000000004,2.4173999999999998,-0.013333333333333442,-0.08165797964755506,0.38461538461538525,0.0,-0.026315789473684043,0.0,-0.013513513513513624,0.018018018018017834,0.08108108108108095,0.07657657657657654,0.07657657657657654,False,False,False,False,True,-0.04749565649044425,0.3442354986340772,1.5633488776606337,-0.8793746910023111,1.0,0.3442354986340772,0.5381601804405332,-0.47324444238464186,-0.47324444238464186,Training
2026-04-06,2.23,2.26,2.19,2.19,3687405.0,2.22,-0.013513513513513624,0.0,3405945.55,1.0826376833886848,2.2475,2.4066,-0.02558398220244721,-0.09000249314385445,0.3043478260869559,0.0,-0.03524229074889871,-0.013513513513513624,0.0,0.05479452054794526,0.09132420091324209,0.08219178082191789,0.07305936073059367,False,False,False,False,True,-0.057793237673150824,-0.05044915159511777,-1.3609817370737924,-1.1262532535444785,1.0,-0.05044915159511777,0.06866037397182247,-0.07732896957534569,-0.07732896957534569,Training
2026-04-07,2.21,2.3,2.16,2.19,14543773.0,2.19,0.0,0.21428571428571339,3964138.65,3.668835599380461,2.2435,2.3966000000000003,-0.02384666815244043,-0.08620545773178682,0.3043478260869559,0.0,-0.03524229074889871,-0.03524229074889871,0.03196347031963463,0.09589041095890409,0.09132420091324209,0.08219178082191789,0.07762557077625568,False,False,False,True,False,-0.055026062942113624,2.1938630214620436,-0.6448191375469994,-1.0599118372661835,1.0,2.1938630214620436,-1.4146448613954092,1.4993988341207738,1.4993988341207738,Training
2026-04-08,2.24,2.28,2.22,2.26,5630619.0,2.19,0.03196347031963463,0.6666666666666642,4089651.3,1.3767968432907716,2.245,2.39,0.006681514476614556,-0.05439330543933068,0.6086956521739117,0.0,0.027272727272727094,0.00444444444444435,0.022123893805309856,0.05752212389380546,0.04867256637168156,0.05752212389380546,0.03982300884955766,False,False,False,False,True,-0.02385589548135806,0.20482326174272544,0.8670796836762312,-0.3126250715320013,1.0,0.20482326174272544,0.1775980890014163,-0.055521615278014504,-0.055521615278014504,Training
2026-04-09,2.27,2.36,2.27,2.31,13309534.0,2.26,0.022123893805309856,0.44444444444444553,4562190.65,2.917355941711905,2.2475,2.3844,0.027808676307007785,-0.0312028183190739,0.7916666666666672,1.0,0.04999999999999994,0.013157894736842216,0.0389610389610389,0.03463203463203466,0.025974025974025997,0.01731601731601733,0.0,False,False,False,True,False,-0.0016970710060330574,1.5417261787704841,0.12439254342623249,0.21861994970458562,1.5,1.5417261787704841,0.19177924064406693,0.041926767943989536,0.06289015191598431,Training
2026-04-12,2.31,2.53,2.31,2.4,25853834.0,2.31,0.0389610389610389,0.4090909090909089,5657974.65,4.569450306745365,2.255,2.382,0.06430155210643017,0.007556675062972205,0.6829268292682927,1.0,0.08108108108108095,0.052631578947368474,-0.004166666666666578,-0.01249999999999992,-0.004166666666666578,-0.016666666666666684,-0.05416666666666663,False,False,False,True,False,0.03592911358470119,2.9754198151145657,0.006237771113726519,1.1206859981186084,1.5,2.9754198151145657,0.018559987773931138,0.020799918423497186,0.03119987763524578,Training
2026-04-13,2.41,2.41,2.32,2.39,10000537.0,2.4,-0.004166666666666578,0.7777777777777783,5891368.85,1.6974895401431198,2.26,2.3794000000000004,0.05752212389380546,0.0044549045977976464,0.6585365853658541,0.0,0.09132420091324209,0.05286343612334806,0.0,-0.00836820083682009,-0.01673640167364018,-0.01673640167364018,-0.03347280334728036,True,False,True,False,False,0.030988514245801554,0.48312157716003007,1.2384232538012467,1.0022379819055682,1.0,0.48312157716003007,0.5983089955681146,0.5996480002741347,0.5996480002741347,Training
2026-04-14,2.38,2.43,2.37,2.39,4120122.0,2.39,0.0,0.3333333333333333,5791536.15,0.7114040028913572,2.2664999999999997,2.3748,0.05448930068387399,0.006400538992757328,0.6585365853658541,0.0,0.09132420091324209,0.05286343612334806,-0.00836820083682009,0.0,-0.01255230125523023,-0.03347280334728036,-0.046025104602510594,False,False,False,False,True,0.030444919838315657,-0.3726071206496465,-0.2469510266987765,0.9892056198833631,1.0,-0.3726071206496465,0.0920157109997051,0.09102245843847168,0.09102245843847168,Training
2026-04-15,2.4,2.4,2.36,2.37,4499534.0,2.39,-0.00836820083682009,0.25000000000000555,5922572.1,0.7597263357925182,2.271,2.3712,0.043593130779392426,-0.0005060728744938714,0.609756097560976,0.0,0.04867256637168156,0.07727272727272723,0.0,-0.008438818565400852,-0.008438818565400852,-0.04219409282700425,-0.03375527426160341,False,False,False,False,True,0.02154352895244928,-0.3306728203820636,-0.5254587042925118,0.7757999134812464,1.0,-0.3306728203820636,0.17375491174270963,0.13479904549693575,0.13479904549693575,Training
2026-04-16,2.37,2.39,2.36,2.37,3856893.0,2.37,0.0,0.33333333333333826,5997273.9,0.6431076959816693,2.2775000000000003,2.3678,0.040614709110867085,0.0009291325280852276,0.609756097560976,0.0,0.025974025974025997,0.07727272727272723,0.008438818565400852,-0.00421940928270052,-0.025316455696202552,-0.025316455696202552,-0.025316455696202552,False,False,False,False,True,0.020771920819476156,-0.43187490987198845,-0.24695102669875998,0.7573010540564565,1.0,-0.43187490987198845,0.10665195239832198,0.08076763596842826,0.08076763596842826,Training
2026-04-19,2.38,2.42,2.36,2.39,3859064.0,2.37,0.008438818565400852,0.5000000000000037,6114201.35,0.6311640358392843,2.286,2.3648,0.04549431321084868,0.010656292286874296,0.6585365853658541,0.0,-0.004166666666666578,0.07657657657657654,-0.01673640167364018,-0.01673640167364018,-0.05020920502092054,-0.046025104602510594,-0.02092050209205032,False,False,False,False,True,0.02807530274886149,-0.4422396625781373,0.31006432848874377,0.9323954184933277,1.0,-0.4422396625781373,-0.13712274400837876,-0.12785261828464575,-0.12785261828464575,Training
2026-04-20,2.39,2.39,2.35,2.35,1630841.0,2.39,-0.01673640167364018,0.0,6136340.7,0.2657676748619906,2.2925,2.3616,0.025081788440567115,-0.004911924119241216,0.560975609756098,0.0,-0.01673640167364018,0.07305936073059367,0.004255319148936079,-0.017021276595744695,-0.017021276595744695,-0.025531914893617044,-0.008510638297872348,False,False,False,False,True,0.01008493216066295,-0.7593319840363133,-1.3609817370737924,0.5010866721370333,1.0,-0.7593319840363133,1.0334369626494309,0.5178414884774069,0.5178414884774069,Training
2026-04-21,2.36,2.37,2.34,2.36,1652256.0,2.35,0.004255319148936079,0.6666666666666617,6122867.45,0.26985003570508453,2.297,2.3602,0.027427078798432616,-8.473858147613676e-05,0.5853658536585364,0.0,-0.01255230125523023,0.07762557077625568,-0.00423728813559313,-0.03813559322033892,-0.0338983050847458,-0.021186440677966028,-0.021186440677966028,False,False,False,False,True,0.01367117010847824,-0.7557892961088681,0.867079683676223,0.5870646560715193,1.0,-0.7557892961088681,-0.6553295437959527,-0.3847208132420766,-0.3847208132420766,Training
2026-04-22,2.38,2.38,2.33,2.35,1624439.0,2.36,-0.00423728813559313,0.4000000000000018,6041249.25,0.26889123967199335,2.3020000000000005,2.3586,0.020851433536055425,-0.003646230814890164,0.560975609756098,0.0,-0.008438818565400852,0.03982300884955766,-0.017021276595744695,-0.017021276595744695,-0.025531914893617044,-0.004255319148936268,-0.012765957446808616,False,False,False,False,True,0.008602601360582631,-0.7566213428734408,-0.024144884623767248,0.4655486471734249,1.0,-0.7566213428734408,0.01826853502755907,0.008504891767920452,0.008504891767920452,Training
2026-04-23,2.37,2.37,2.31,2.31,2103031.0,2.35,-0.017021276595744695,0.0,6046166.35,0.347828835374336,2.3035,2.3548,0.0028217929238115694,-0.019024970273483925,0.46341463414634165,0.0,-0.025316455696202552,0.0,-0.01731601731601733,-0.012987012987013094,0.0,0.008658008658008665,0.01731601731601733,False,False,False,False,True,-0.008101588674836178,-0.6881190036475223,-1.3609817370737924,0.06507533686819067,1.0,-0.6881190036475223,0.9365173968976922,0.06094418508603834,0.06094418508603834,Training
